10 - Detailed Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,VALID VOTES POLLED,,,,
STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Punjab,33,Kartarpur,8 JEEVAN KUMAR,MALE,42,SC,IND,Bat,731,1,732,0.59,184762
Punjab,33,Kartarpur,9 K. K. SABHARWAL,MALE,51,SC,DBSP,Camera,452,0,452,0.36,184762
TURN OUT,,,,,,TOTAL:,,,124521,467,124988,67.65,
Punjab,34,Jalandhar West,1 SHEETAL ANGURAL,MALE,38,SC,AAAP,Broom,39001,212,39213,33.73,171691
Punjab,34,Jalandhar West,2 SUSHIL KUMAR RINKU,MALE,46,SC,INC,Hand,34718,242,34960,30.07,171691
Punjab,34,Jalandhar West,3 MOHINDER BHAGAT,MALE,64,SC,BJP,Lotus,33279,207,33486,28.81,171691
Punjab,34,Jalandhar West,4 ANIL MEENIA,MALE,55,SC,BSP,Elephant,4085,40,4125,3.55,171691
Punjab,34,Jalandhar West,5 JASBIR SINGH MANN,MALE,46,SC,SAD(M),BUCKET,1697,4,1701,1.46,171691
Punjab,34,Jalandhar West,6 NOTA,,,,NOTA,NOTA,906,15,921,0.79,171691
Punjab,34,Jalandhar West,7 SUBHASH GORIA,MALE,47,SC,IND,SHIP,576,0,576,0.5,171691
Punjab,34,Jalandhar West,8 NEELAM,FEMALE,35,SC,IND,Bat,299,2,301,0.26,171691
Punjab,34,Jalandhar West,9 KARAM CHAND,MALE,65,SC,IND,Helicopter,272,0,272,0.23,171691
Punjab,34,Jalandhar West,10 BALWINDER KUMAR,MALE,37,SC,ASPKR,Kettle,244,0,244,0.21,171691
Punjab,34,Jalandhar West,11 VIPAN KUMAR,MALE,56,SC,IND,School Bag,180,2,182,0.16,171691
Punjab,34,Jalandhar West,12 AMRISH BHAGAT,MALE,57,SC,IND,Pen Drive,161,0,161,0.14,171691
Punjab,34,Jalandhar West,13 BALJINDER SODHI ADVOCATE,MALE,36,SC,NATJUP,Truck,105,0,105,0.09,171691
TURN OUT,,,,,,TOTAL:,,,115523,724,116247,67.71,
Punjab,35,Jalandhar Central,1 RAMAN ARORA,MALE,51,GENERAL,AAAP,Broom,32642,369,33011,30.98,174292
Punjab,35,Jalandhar Central,2 RAJINDER BERI,MALE,60,GENERAL,INC,Hand,32479,285,32764,30.75,174292
Punjab,35,Jalandhar Central,3 MANORANJAN KALIA,MALE,63,GENERAL,BJP,Lotus,27764,229,27993,26.27,174292
Punjab,35,Jalandhar Central,4 CHANDAN KUMAR GREWAL,MALE,52,GENERAL,SAD,Scales,10793,114,10907,10.24,174292
Punjab,35,Jalandhar Central,5 NOTA,,,,NOTA,NOTA,932,21,953,0.89,174292
Punjab,35,Jalandhar Central,6 BHUPINDER SINGH,MALE,54,GENERAL,JJJKP,Cauliflower,326,3,329,0.31,174292
Punjab,35,Jalandhar Central,7 JATINDER KUMAR SHARMA,MALE,48,GENERAL,SP,Bicycle,215,4,219,0.21,174292
Punjab,35,Jalandhar Central,8 NARINDER KUMAR,MALE,44,GENERAL,IND,Camera,203,4,207,0.19,174292
Punjab,35,Jalandhar Central,9 MANJIT KAUR,FEMALE,47,SC,PNJBNP,Football,170,1,171,0.16,174292
TURN OUT,,,,,,TOTAL:,,,105524,1030,106554,61.14,
Punjab,36,Jalandhar North,1 Avtar Singh Junior,MALE,43,GENERAL,INC,Hand,47127,211,47338,36.94,192161
Punjab,36,Jalandhar North,2 K D Bhandari,MALE,60,GENERAL,BJP,Lotus,37634,218,37852,29.54,192161
Punjab,36,Jalandhar North,3 Dinesh Dhall,MALE,48,GENERAL,AAAP,Broom,32467,218,32685,25.5,192161
Punjab,36,Jalandhar North,4 Kuldip Singh Lubana,MALE,54,GENERAL,BSP,Elephant,6097,56,6153,4.8,192161
Punjab,36,Jalandhar North,5 Gurpartap Singh,MALE,36,GENERAL,SAD(M),BUCKET,1605,5,1610,1.26,192161
Punjab,36,Jalandhar North,6 NOTA,,,,NOTA,NOTA,938,12,950,0.74,192161
Punjab,36,Jalandhar North,7 Des Raj Jassal,MALE,59,GENERAL,IND,Scissors,640,9,649,0.51,192161
Punjab,36,Jalandhar North,8 Rahul Bajaj,MALE,32,GENERAL,IND,Bat,422,2,424,0.33,192161
Punjab,36,Jalandhar North,9 Rajinder Kumar,MALE,46,SC,BMUP,Cot,251,2,253,0.2,192161
Punjab,36,Jalandhar North,10 Deepak Kamboj,MALE,40,GENERAL,IND,Balloon,152,0,152,0.12,192161
Punjab,36,Jalandhar North,11 Baljinder Sodhi,MALE,36,SC,NATJUP,Truck,91,1,92,0.07,192161
