10 - Detailed Results,,,,,,,,,,,,,
,,,,,,,,, VALID VOTES POLLED ,,,,
 STATE/UT NAME , AC NO. , AC NAME , CANDIDATE NAME , SEX , AGE , CATEGORY , PARTY , SYMBOL , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS 
NCT OF Delhi,35,NAJAFGARH,2 AJEET SINGH KHARKHARI,MALE,64,GENERAL,BJP,Lotus,73868,1408,75276,46.0459995106435,251833
NCT OF Delhi,35,NAJAFGARH,3 SAHAB SINGH,MALE,63,GENERAL,INC,Hand,2311,68,2379,1.45522388059701,251833
NCT OF Delhi,35,NAJAFGARH,4 LALIT GOEL,MALE,29,GENERAL,IND,Bat,1887,11,1898,1.16099828725226,251833
NCT OF Delhi,35,NAJAFGARH,5 MANOJ KUMAR,MALE,34,SC,BSP,Elephant,818,22,840,0.513824321017861,251833
NCT OF Delhi,35,NAJAFGARH,6 NOTA,,,,NOTA,NOTA,720,16,736,0.450207976510888,251833
NCT OF Delhi,35,NAJAFGARH,7 MOHAMMAD KASIM,MALE,36,GENERAL,IND,Syringe,339,,339,0.207364815267923,251833
NCT OF Delhi,35,NAJAFGARH,8 PARVEEN KUMAR,MALE,29,GENERAL,IND,Football,255,12,267,0.163322730609249,251833
NCT OF Delhi,35,NAJAFGARH,9 BAIDYANATH SAH,MALE,54,GENERAL,PBI,FLUTE,159,1,160,0.0978712992414974,251833
NCT OF Delhi,35,NAJAFGARH,10 AJIT YADAV,MALE,26,GENERAL,IND,Pineapple,76,2,78,0.04771225838023,251833
 TURNOUT , TOTAL : ,,,,,,,,161194,2286,163480,64.9160356267844,
NCT OF Delhi,36,BIJWASAN,1 BHUPINDER SINGH JOON,MALE,66,GENERAL,AAAP,Broom,57098,173,57271,45.8270652626188,201630
NCT OF Delhi,36,BIJWASAN,2 SAT PRAKASH RANA,MALE,54,GENERAL,BJP,Lotus,56203,315,56518,45.224530294786,201630
NCT OF Delhi,36,BIJWASAN,3 PARVEEN RANA,MALE,53,GENERAL,INC,Hand,5893,44,5937,4.75066414876932,201630
NCT OF Delhi,36,BIJWASAN,4 LOKENDER KAPASHERA,MALE,33,GENERAL,AAPP,Battery torch,2529,15,2544,2.03565598694107,201630
NCT OF Delhi,36,BIJWASAN,5 DEEPAK,MALE,39,GENERAL,BSP,Elephant,627,4,631,0.50491310053452,201630
NCT OF Delhi,36,BIJWASAN,6 RAM NIWAS,MALE,58,GENERAL,HND,Water Tank,577,5,582,0.46570431776718,201630
NCT OF Delhi,36,BIJWASAN,7 NOTA,,,,NOTA,NOTA,442,6,448,0.358480299587108,201630
NCT OF Delhi,36,BIJWASAN,8 MANJU YADAV,FEMALE,43,GENERAL,SWARAJ,Whistle,324,1,325,0.260058253048683,201630
NCT OF Delhi,36,BIJWASAN,9 KAMESHWAR THAKUR,MALE,62,GENERAL,IND,Phone Charger,205,,205,0.164036744230708,201630
NCT OF Delhi,36,BIJWASAN,10 ANIL,MALE,38,GENERAL,IND,Cauliflower,193,,193,0.15443459334891,201630
NCT OF Delhi,36,BIJWASAN,11 DHANJI SHARMA,MALE,41,GENERAL,RAM,Key,131,,131,0.104823480459623,201630
NCT OF Delhi,36,BIJWASAN,12 NITU YADAV,FEMALE,42,GENERAL,ANC,Gramophone,100,,100,0.0800179240149794,201630
NCT OF Delhi,36,BIJWASAN,13 MANOJ KUMAR,MALE,39,GENERAL,LJP,Bungalow,45,,45,0.0360080658067407,201630
NCT OF Delhi,36,BIJWASAN,14 PARDEEP MAURYA,MALE,39,GENERAL,NYP,Laptop,42,,42,0.0336075280862913,201630
 TURNOUT , TOTAL : ,,,,,,,,124409,563,124972,61.9808560234092,
NCT OF Delhi,37,PALAM,1 BHAVNA GAUR,FEMALE,49,GENERAL,AAAP,Broom,92412,363,92775,59.1484912432818,247721
NCT OF Delhi,37,PALAM,2 VIJAY PANDIT,MALE,52,GENERAL,BJP,Lotus,59565,445,60010,38.2592396605696,247721
NCT OF Delhi,37,PALAM,3 NOTA,,,,NOTA,NOTA,826,22,848,0.540640480455974,247721
NCT OF Delhi,37,PALAM,4 GEETA,FEMALE,34,GENERAL,BSP,Elephant,772,14,786,0.501112520799995,247721
NCT OF Delhi,37,PALAM,5 NIRMAL KUMAR SINGH,MALE,57,GENERAL,RJD,Hurricane Lamp,547,5,552,0.351926350485493,247721
NCT OF Delhi,37,PALAM,6 DALIP KUMAR,MALE,40,GENERAL,CPI,Ears of Corn And Sickle,481,3,484,0.308573104411193,247721
NCT OF Delhi,37,PALAM,7 SATDEV JAIN,MALE,54,GENERAL,PBI,FLUTE,324,,324,0.206565466589311,247721
NCT OF Delhi,37,PALAM,8 RAM SINGH BISHT,MALE,42,GENERAL,IND,Cauliflower,313,1,314,0.200189989225443,247721
NCT OF Delhi,37,PALAM,9 NAGENDER SINGH,MALE,37,GENERAL,IND,Plastering Trowel,217,,217,0.138347858795927,247721
NCT OF Delhi,37,PALAM,10 HARI RATTAN SOLANKI,MALE,37,GENERAL,IND,BUCKET,162,3,165,0.105195376503816,247721
NCT OF Delhi,37,PALAM,11 SANTOSH CHOUDHARY,MALE,38,GENERAL,NYP,Laptop,162,,162,0.103282733294655,247721
NCT OF Delhi,37,PALAM,12 JITENDAR KUMAR,MALE,46,GENERAL,IND,Gas Stove,118,,118,0.0752306328936379,247721
NCT OF Delhi,37,PALAM,13 RAJESH KUMAR,MALE,35,SC,RPI(A),Pen Stand,96,,96,0.0612045826931292,247721
 TURNOUT , TOTAL : ,,,,,,,,155995,856,156851,63.3176032714223,
NCT OF Delhi,38,DELHI CANTT,1 Virender Singh Kadian,MALE,44,GENERAL,AAAP,Broom,28880,91,28971,49.1650544751044,129703
NCT OF Delhi,38,DELHI CANTT,2 Manish Singh,MALE,33,GENERAL,BJP,Lotus,18259,122,18381,31.1933611648508,129703
NCT OF Delhi,38,DELHI CANTT,3 Sandeep Tanwar,MALE,43,GENERAL,INC,Hand,7923,31,7954,13.4982859858127,129703
NCT OF Delhi,38,DELHI CANTT,4 Nand Kishore Beniwal,MALE,51,SC,BSP,Elephant,1822,1,1823,3.09371075586329,129703
NCT OF Delhi,38,DELHI CANTT,5 Surender Singh,MALE,42,GENERAL,NCP,Clock,904,4,908,1.54091572480739,129703
NCT OF Delhi,38,DELHI CANTT,6 NOTA,,,,NOTA,NOTA,276,4,280,0.475172249940604,129703
NCT OF Delhi,38,DELHI CANTT,7 Sachin,MALE,38,SC,IND,Battery torch,161,,161,0.273224043715847,129703
NCT OF Delhi,38,DELHI CANTT,8 Sachin Kumar,MALE,30,SC,BSNP,Wheel Barrow,127,,127,0.215524556223059,129703
NCT OF Delhi,38,DELHI CANTT,9 Bir Singh Chauhan,MALE,51,GENERAL,IND,Tractor Chalata Kissan,84,,84,0.142551674982181,129703
NCT OF Delhi,38,DELHI CANTT,10 Nagendra Kumar Tiwari,MALE,43,GENERAL,NYP,Laptop,81,,81,0.137460543732817,129703
NCT OF Delhi,38,DELHI CANTT,11 Sanjeev Kumar,MALE,39,GENERAL,IND,Cauliflower,73,,73,0.123884193734514,129703
NCT OF Delhi,38,DELHI CANTT,12 Ishwar,MALE,37,GENERAL,IND,Bat,47,,47,0.0797610562400299,129703
NCT OF Delhi,38,DELHI CANTT,13 Manoj Bawan,MALE,39,GENERAL,IND,Gas Cylinder,36,,36,0.0610935749923633,129703
 TURNOUT , TOTAL : ,,,,,,,,58673,253,58926,45.4314857790491,
NCT OF Delhi,39,RAJINDER NAGAR,1 RAGHAV CHADHA,MALE,31,GENERAL,AAAP,Broom,58943,192,59135,57.0564341055353,177222
NCT OF Delhi,39,RAJINDER NAGAR,2 SARDAR R P SINGH,MALE,58,GENERAL,BJP,Lotus,38876,201,39077,37.7034628484316,177222
NCT OF Delhi,39,RAJINDER NAGAR,3 ROCKY TUSEED,MALE,25,GENERAL,INC,Hand,3922,19,3941,3.8024758063738,177222
NCT OF Delhi,39,RAJINDER NAGAR,4 SATENDRA NARAYAN SINGH,MALE,54,GENERAL,PUJP,Violin,484,2,486,0.468917341257972,177222
NCT OF Delhi,39,RAJINDER NAGAR,5 NOTA,,,,NOTA,NOTA,463,4,467,0.450585181826076,177222
NCT OF Delhi,39,RAJINDER NAGAR,6 JAGDISH,MALE,51,SC,BSP,Elephant,379,3,382,0.368572889630752,177222
NCT OF Delhi,39,RAJINDER NAGAR,7 SHASHI RAJ,FEMALE,48,SC,BSNP,Wheel Barrow,155,,155,0.149551826944415,177222
 TURNOUT , TOTAL : ,,,,,,,,103222,421,103643,58.4820169053504,
NCT OF Delhi,40,NEW DELHI,1 ARVIND KEJRIWAL,MALE,51,GENERAL,AAAP,Broom,46526,232,46758,61.0976087808703,146122
NCT OF Delhi,40,NEW DELHI,2 SUNIL KUMAR YADAV,MALE,44,GENERAL,BJP,Lotus,24876,185,25061,32.7466353064158,146122
NCT OF Delhi,40,NEW DELHI,3 ROMESH SABHARWAL,MALE,56,GENERAL,INC,Hand,3206,14,3220,4.20750032666928,146122
NCT OF Delhi,40,NEW DELHI,4 NOTA,,,,NOTA,NOTA,392,3,395,0.516137462433033,146122
NCT OF Delhi,40,NEW DELHI,5 SAMPURNA NAND UNIYAL,MALE,45,GENERAL,JAVP,Pen Nib with Seven Rays,199,3,202,0.263948778256893,146122
NCT OF Delhi,40,NEW DELHI,6 RAM GULAM,MALE,49,SC,BSP,Elephant,134,2,136,0.177708088331373,146122
NCT OF Delhi,40,NEW DELHI,7 SHEALENDERA SINGH,MALE,38,GENERAL,AnAP,HOCKEY and BALL,99,,99,0.129361034888279,146122
NCT OF Delhi,40,NEW DELHI,8 YOGENDER SINGH,MALE,44,GENERAL,IND,Battery torch,87,,87,0.113680909447276,146122
NCT OF Delhi,40,NEW DELHI,9 VIKAS SHARMA,MALE,35,GENERAL,IND,Pen Stand,67,,67,0.087547367045603,146122
NCT OF Delhi,40,NEW DELHI,10 SANNI KAUSHIK,MALE,25,GENERAL,IND,Ganna Kisan,66,,66,0.0862406899255194,146122
NCT OF Delhi,40,NEW DELHI,11 AJAY TIWARI,MALE,36,GENERAL,RTORP,Auto- Rickshaw,57,,57,0.0744805958447668,146122
NCT OF Delhi,40,NEW DELHI,12 Daya Shankar Agrawal,MALE,70,GENERAL,IND,CCTV Camera,41,,41,0.0535737619234287,146122
NCT OF Delhi,40,NEW DELHI,13 ASHOK AGYANI,MALE,50,GENERAL,BSNP,Wheel Barrow,36,1,37,0.0483470534430942,146122
NCT OF Delhi,40,NEW DELHI,14 SANDEEP SRIVASTAVA,MALE,54,GENERAL,IND,CUTTING PLIERS,35,,35,0.045733699202927,146122
NCT OF Delhi,40,NEW DELHI,15 MAHENDER SINGH,MALE,61,SC,PPID,Basket containing Fruits,28,,28,0.0365869593623416,146122
NCT OF Delhi,40,NEW DELHI,16 RAHUL KUMAR,MALE,33,GENERAL,IND,Laptop,25,,25,0.0326669280020907,146122
NCT OF Delhi,40,NEW DELHI,17 MEENA SURYAWANSHI,FEMALE,46,GENERAL,RPPRINAT,Diesel Pump,24,,24,0.0313602508820071,146122
NCT OF Delhi,40,NEW DELHI,18 M U DUA,MALE,55,GENERAL,AHNP,CHAPATI ROLLER,24,,24,0.0313602508820071,146122
NCT OF Delhi,40,NEW DELHI,19 ADITI SHARMA,FEMALE,29,GENERAL,HAMS,Telephone,21,1,22,0.0287468966418398,146122
NCT OF Delhi,40,NEW DELHI,20 KIRTI SINGH PANWAR,MALE,58,GENERAL,IND,Throwing a Javelin,21,,21,0.0274402195217562,146122
NCT OF Delhi,40,NEW DELHI,21 RAHUL BENIWAL,MALE,30,SC,IND,BUCKET,21,,21,0.0274402195217562,146122
NCT OF Delhi,40,NEW DELHI,22 RAMESH NARAIN SINGH,MALE,62,GENERAL,VSP,Cup & Saucer,19,,19,0.0248268652815889,146122
NCT OF Delhi,40,NEW DELHI,23 RAJBIR,MALE,63,SC,BHUDRP,Key,16,,16,0.020906833921338,146122
NCT OF Delhi,40,NEW DELHI,24 PRATAP CHANDRA,MALE,50,GENERAL,RRP,Air Conditioner,15,,15,0.0196001568012544,146122
NCT OF Delhi,40,NEW DELHI,25 SANT DHARMVEER CHOTIWALA,MALE,48,GENERAL,IND,Apple,14,,14,0.0182934796811708,146122
NCT OF Delhi,40,NEW DELHI,26 RAMESH KUMAR KHATRI,MALE,59,GENERAL,IND,Cauliflower,12,,12,0.0156801254410035,146122
NCT OF Delhi,40,NEW DELHI,27 NARENDER KUMAR BANSAL,MALE,68,GENERAL,BLPGL,Tractor Chalata Kissan,10,,10,0.0130667712008363,146122
NCT OF Delhi,40,NEW DELHI,28 AMIT SHARMA,MALE,35,GENERAL,VIJAYBHA,COMPUTER,9,,9,0.0117600940807526,146122
NCT OF Delhi,40,NEW DELHI,29 SHIV KUMAR,MALE,37,GENERAL,IND,Chakki,9,,9,0.0117600940807526,146122
 TURNOUT , TOTAL : ,,,,,,,,76089,441,76530,52.3740436073966,
NCT OF Delhi,41,JANGPURA,1 PRAVEEN KUMAR,MALE,35,GENERAL,AAAP,Broom,45086,47,45133,50.8810299538911,146383
NCT OF Delhi,41,JANGPURA,2 IMPREET SINGH BAKSHI,MALE,37,GENERAL,BJP,Lotus,28995,75,29070,32.7722850410922,146383
NCT OF Delhi,41,JANGPURA,3 TARVINDER SINGH MARWAH,MALE,60,GENERAL,INC,Hand,13548,17,13565,15.2926056615898,146383
NCT OF Delhi,41,JANGPURA,4 NOTA,,,,NOTA,NOTA,416,3,419,0.472362828765656,146383
NCT OF Delhi,41,JANGPURA,5 SUBHASH,MALE,56,GENERAL,BSP,Elephant,247,,247,0.278457323878561,146383
NCT OF Delhi,41,JANGPURA,6 CHANDRASHEKHAR SINGH,MALE,39,GENERAL,IND,CCTV Camera,156,,156,0.175867783502249,146383
NCT OF Delhi,41,JANGPURA,7 MOHD. ASLAM,MALE,43,GENERAL,IND,Pressure Cooker,113,,113,0.127391407280475,146383
 TURNOUT , TOTAL : ,,,,,,,,88561,142,88703,60.5965173551574,
NCT OF Delhi,42,KASTURBA NAGAR,1 MADAN LAL,MALE,63,GENERAL,AAAP,Broom,37039,61,37100,40.4536037509541,153485
NCT OF Delhi,42,KASTURBA NAGAR,2 RAVINDER CHOUDHRY,MALE,49,GENERAL,BJP,Lotus,33798,137,33935,37.0025079053538,153485
NCT OF Delhi,42,KASTURBA NAGAR,3 ABHISHEK DUTT,MALE,40,GENERAL,INC,Hand,19586,62,19648,21.4240540835241,153485
NCT OF Delhi,42,KASTURBA NAGAR,4 NOTA,,,,NOTA,NOTA,463,,463,0.50485225166285,153485
NCT OF Delhi,42,KASTURBA NAGAR,5 KHEM CHAND,MALE,56,SC,BSP,Elephant,282,1,283,0.308581397884636,153485
NCT OF Delhi,42,KASTURBA NAGAR,6 SUMAN LATA KATIYAR,FEMALE,55,GENERAL,AJPI,Helicopter,281,,281,0.306400610620434,153485
 TURNOUT , TOTAL : ,,,,,,,,91449,261,91710,59.751767273675,
NCT OF Delhi,43,MALVIYA NAGAR,1 SOMNATH BHARTI,MALE,45,GENERAL,AAAP,Broom,51941,102,52043,57.9685446323153,152442
NCT OF Delhi,43,MALVIYA NAGAR,2 SHAILENDER SINGH,MALE,46,GENERAL,BJP,Lotus,33690,209,33899,37.7586936665998,152442
NCT OF Delhi,43,MALVIYA NAGAR,3 NEETU VERMA SOIN,FEMALE,41,GENERAL,INC,Hand,2835,21,2856,3.18118024460336,152442
NCT OF Delhi,43,MALVIYA NAGAR,4 NOTA,,,,NOTA,NOTA,548,1,549,0.611508387355477,152442
NCT OF Delhi,43,MALVIYA NAGAR,5 GYAN CHAND GAUTAM,MALE,56,SC,BSP,Elephant,227,2,229,0.255073626055381,152442
NCT OF Delhi,43,MALVIYA NAGAR,6 MOBIN ALI,MALE,44,GENERAL,SHS,Bow & Arrow,115,,115,0.128093742342222,152442
NCT OF Delhi,43,MALVIYA NAGAR,7 KAMAL SINGH,MALE,69,GENERAL,IND,Auto- Rickshaw,87,,87,0.0969057007284635,152442
 TURNOUT , TOTAL : ,,,,,,,,89443,335,89778,58.8932184043768,
NCT OF Delhi,44,R K PURAM,1 PRAMILA TOKAS,FEMALE,42,GENERAL,AAAP,Broom,46945,263,47208,52.451002177681,157876
NCT OF Delhi,44,R K PURAM,2 ANIL KUMAR SHARMA,MALE,48,GENERAL,BJP,Lotus,36528,311,36839,40.9304030931959,157876
NCT OF Delhi,44,R K PURAM,3 PRIYANKA SINGH,FEMALE,41,GENERAL,INC,Hand,3216,21,3237,3.59650682191903,157876
NCT OF Delhi,44,R K PURAM,4 MAHIPAL SINGH,MALE,57,GENERAL,IND,Bat,1548,3,1551,1.7232567441447,157876
NCT OF Delhi,44,R K PURAM,5 NOTA,,,,NOTA,NOTA,523,4,527,0.585529532020799,157876
NCT OF Delhi,44,R K PURAM,6 NAGESHWAR DAS,MALE,48,SC,BSP,Elephant,297,4,301,0.334429580907515,157876
NCT OF Delhi,44,R K PURAM,7 MUKESH,MALE,50,SC,BSNP,Wheel Barrow,181,,181,0.201102173236745,157876
NCT OF Delhi,44,R K PURAM,8 KUMAR SHEODHVJ RATNA,MALE,42,GENERAL,IND,Pineapple,160,,160,0.17776987689436,157876
 TURNOUT , TOTAL : ,,,,,,,,89398,606,90004,57.0092984367478,
NCT OF Delhi,45,MEHRAULI,1 NARESH YADAV,MALE,47,GENERAL,AAAP,Broom,62301,116,62417,54.272348639648,203804
NCT OF Delhi,45,MEHRAULI,2 KUSUM KHATRI,FEMALE,51,GENERAL,BJP,Lotus,44085,171,44256,38.4811359308564,203804
NCT OF Delhi,45,MEHRAULI,3 A A MAHENDER CHAUDHARY,MALE,35,GENERAL,INC,Hand,6936,16,6952,6.04484944394689,203804
NCT OF Delhi,45,MEHRAULI,4 NOTA,,,,NOTA,NOTA,592,1,593,0.515620788299843,203804
NCT OF Delhi,45,MEHRAULI,5 KAMAL SINGH,MALE,45,SC,BSP,Elephant,465,5,470,0.408670776561427,203804
NCT OF Delhi,45,MEHRAULI,6 D K CHOPRA,MALE,66,GENERAL,﻿AIFB,Lion,163,,163,0.141730503360665,203804
NCT OF Delhi,45,MEHRAULI,7 JAI SINGH UJJAIN,MALE,35,GENERAL,SWARAJ,Whistle,156,,156,0.135643917326771,203804
 TURNOUT , TOTAL : ,,,,,,,,114698,309,115007,56.4301976408706,
NCT OF Delhi,46,CHHATARPUR,1 KARTAR SINGH TANWAR,MALE,57,GENERAL,AAAP,Broom,69288,123,69411,49.129053035397,218736
NCT OF Delhi,46,CHHATARPUR,2 BRAHM SINGH TANWAR,MALE,67,GENERAL,BJP,Lotus,65530,161,65691,46.4960398632532,218736
NCT OF Delhi,46,CHHATARPUR,3 SATISH LOHIA,MALE,49,GENERAL,INC,Hand,3857,17,3874,2.74201425507669,218736
NCT OF Delhi,46,CHHATARPUR,4 NOTA,,,,NOTA,NOTA,707,2,709,0.501829661034944,218736
NCT OF Delhi,46,CHHATARPUR,5 RAM KHELAVAN,MALE,52,GENERAL,PBI,FLUTE,408,,408,0.288782089848035,218736
NCT OF Delhi,46,CHHATARPUR,6 SURAJ BHARTI,MALE,37,GENERAL,BSP,Elephant,363,6,369,0.261177919494914,218736
NCT OF Delhi,46,CHHATARPUR,7 HARSH NATH VERMA,MALE,61,GENERAL,IND,Window,216,,216,0.152884635801901,218736
NCT OF Delhi,46,CHHATARPUR,8 RANA SUJEET SINGH,MALE,38,GENERAL,NCP,Clock,177,,177,0.12528046544878,218736
NCT OF Delhi,46,CHHATARPUR,9 ROHIT,MALE,30,GENERAL,IND,Gas Stove,101,,101,0.0714877232221853,218736
NCT OF Delhi,46,CHHATARPUR,10 SANGEETA SINGH,FEMALE,44,GENERAL,RRP,Auto- Rickshaw,96,,96,0.0679487270230672,218736
NCT OF Delhi,46,CHHATARPUR,11 DINESH TANWAR,MALE,41,GENERAL,IND,Cauliflower,79,,79,0.0559161399460657,218736
NCT OF Delhi,46,CHHATARPUR,12 RAM PRIYE THAKUR,MALE,55,GENERAL,SatBP,Black Board,76,1,77,0.0545005414664185,218736
NCT OF Delhi,46,CHHATARPUR,13 SEEMA VERMA,FEMALE,41,GENERAL,INDPJC,Rubber Stamp,73,2,75,0.0530849429867712,218736
 TURNOUT , TOTAL : ,,,,,,,,140971,312,141283,64.5906480871919,
NCT OF Delhi,47,DEOLI(SC),1 PRAKASH @ PRAKASH JARWAL,MALE,31,SC,AAAP,Broom,92458,117,92575,61.5869235477261,236728
NCT OF Delhi,47,DEOLI(SC),2 ARVIND KUMAR,MALE,45,SC,BJP,Lotus,52299,103,52402,34.8612256845579,236728
NCT OF Delhi,47,DEOLI(SC),3 ARVINDER SINGH,MALE,55,SC,INC,Hand,2700,11,2711,1.803533888608,236728
NCT OF Delhi,47,DEOLI(SC),4 RAVI KUMAR,MALE,35,SC,BSP,Elephant,1029,3,1032,0.686553660288991,236728
NCT OF Delhi,47,DEOLI(SC),5 NOTA,,,,NOTA,NOTA,702,1,703,0.46768141781314,236728
NCT OF Delhi,47,DEOLI(SC),6 DAL CHAND KAPIL,MALE,58,SC,SDPI,Gas Cylinder,474,,474,0.315335692807153,236728
NCT OF Delhi,47,DEOLI(SC),7 RADHY SHYAM,MALE,49,SC,BSNP,Wheel Barrow,418,1,419,0.278746108198728,236728
 TURNOUT , TOTAL : ,,,,,,,,150080,236,150316,63.4973471663682,
NCT OF Delhi,48,AMBEDKAR NAGAR(SC),1 AJAY DUTT,MALE,44,SC,AAAP,Broom,62647,224,62871,62.2466659406156,157223
NCT OF Delhi,48,AMBEDKAR NAGAR(SC),2 KHUSHIRAM CHUNAR,MALE,45,SC,BJP,Lotus,34394,150,34544,34.2009643277922,157223
NCT OF Delhi,48,AMBEDKAR NAGAR(SC),3 YADURAJ CHOUDHARY,MALE,40,SC,INC,Hand,2127,11,2138,2.11676880884726,157223
NCT OF Delhi,48,AMBEDKAR NAGAR(SC),4 SATISH,MALE,32,SC,BSP,Elephant,616,4,620,0.613843153173668,157223
NCT OF Delhi,48,AMBEDKAR NAGAR(SC),5 NOTA,,,,NOTA,NOTA,493,3,496,0.491074522538934,157223
NCT OF Delhi,48,AMBEDKAR NAGAR(SC),6 RASHMI RAIKWAR,FEMALE,29,SC,IND,Boat with Man and Sail,249,1,250,0.247517400473253,157223
NCT OF Delhi,48,AMBEDKAR NAGAR(SC),7 NARESH KUMAR CHANDALIYA,MALE,55,SC,RJAP,Cup & Saucer,83,1,84,0.0831658465590131,157223
 TURNOUT , TOTAL : ,,,,,,,,100609,394,101003,64.2418730084021,
NCT OF Delhi,49,SANGAM VIHAR,1 DINESH MOHANIYA,MALE,42,GENERAL,AAAP,Broom,75307,38,75345,64.5817976102721,189041
NCT OF Delhi,49,SANGAM VIHAR,2 Shiv Charan Lal Gupta,MALE,66,GENERAL,JD(U),Arrow,32803,20,32823,28.134160766633,189041
NCT OF Delhi,49,SANGAM VIHAR,3 Suresh Choudhary,MALE,44,GENERAL,BSP,Elephant,2927,3,2930,2.51144292253099,189041
NCT OF Delhi,49,SANGAM VIHAR,4 Poonam Azad,FEMALE,53,GENERAL,INC,Hand,2601,3,2604,2.2320127543586,189041
NCT OF Delhi,49,SANGAM VIHAR,5 NOTA,,,,NOTA,NOTA,870,2,872,0.747432842473386,189041
NCT OF Delhi,49,SANGAM VIHAR,6 Rambhavan Ojha,MALE,44,GENERAL,MaNPa,Tooth Brush,615,,615,0.527145869404968,189041
NCT OF Delhi,49,SANGAM VIHAR,7 MAYA,FEMALE,44,GENERAL,IND,FLUTE,540,,540,0.462859787770216,189041
NCT OF Delhi,49,SANGAM VIHAR,8 Kali Paswan,MALE,60,GENERAL,PPID,Basket containing Fruits,500,,500,0.428573877565015,189041
NCT OF Delhi,49,SANGAM VIHAR,9 Sachin Choudhary,MALE,25,GENERAL,IND,Battery torch,293,,293,0.251144292253099,189041
NCT OF Delhi,49,SANGAM VIHAR,10 Harit Kumar,MALE,25,GENERAL,SSBDP,Matchbox,143,1,144,0.123429276738724,189041
 TURNOUT , TOTAL : ,,,,,,,,116599,67,116666,61.7146544929407,
NCT OF Delhi,50,GREATER KAILASH,1 SAURABH BHARADWAJ,MALE,40,GENERAL,AAAP,Broom,60231,141,60372,55.6177912075764,180653
NCT OF Delhi,50,GREATER KAILASH,2 SHIKHA ROY,FEMALE,55,GENERAL,BJP,Lotus,43398,165,43563,40.1324759553377,180653
NCT OF Delhi,50,GREATER KAILASH,3 SUKHBIR SINGH PANWAR,MALE,64,GENERAL,INC,Hand,3319,20,3339,3.0760585178907,180653
NCT OF Delhi,50,GREATER KAILASH,4 NOTA,,,,NOTA,NOTA,586,,586,0.539853336772672,180653
NCT OF Delhi,50,GREATER KAILASH,5 SHOBHA DHAR,FEMALE,46,GENERAL,PBI,FLUTE,281,1,282,0.259792902678999,180653
NCT OF Delhi,50,GREATER KAILASH,6 RAJBIR SINGH,MALE,63,GENERAL,BSP,Elephant,213,1,214,0.197147805579099,180653
NCT OF Delhi,50,GREATER KAILASH,7 LUKMAN KHAN,MALE,58,GENERAL,IND,Pressure Cooker,105,1,106,0.0976526513616096,180653
NCT OF Delhi,50,GREATER KAILASH,8 RAJIV GUPTA,MALE,43,GENERAL,IND,Vacuum Cleaner,86,,86,0.0792276228028153,180653
 TURNOUT , TOTAL : ,,,,,,,,108219,329,108548,60.0864641052183,
NCT OF Delhi,51,KALKAJI,1 ATISHI,FEMALE,38,GENERAL,AAAP,Broom,55833,64,55897,52.284164250304,185910
NCT OF Delhi,51,KALKAJI,2 DHARAMBIR SINGH,MALE,56,GENERAL,BJP,Lotus,44411,93,44504,41.6275371808063,185910
NCT OF Delhi,51,KALKAJI,3 SHIVANI CHOPRA,FEMALE,40,GENERAL,INC,Hand,4956,9,4965,4.64409316247311,185910
NCT OF Delhi,51,KALKAJI,4 NOTA,,,,NOTA,NOTA,550,1,551,0.51538677392199,185910
NCT OF Delhi,51,KALKAJI,5 JAY PRAKASH SHARMA,MALE,44,GENERAL,BSP,Elephant,473,,473,0.442428210644467,185910
NCT OF Delhi,51,KALKAJI,6 PARVESH KUMAR,MALE,55,GENERAL,SWARAJ,Whistle,301,,301,0.28154522495557,185910
NCT OF Delhi,51,KALKAJI,7 DR. SUMAN YADAV,FEMALE,43,GENERAL,PSJP,FLUTE,219,,219,0.204845196894584,185910
 TURNOUT , TOTAL : ,,,,,,,,106743,167,106910,57.5063202624926,
NCT OF Delhi,52,TUGHLAKABAD,1 SAHIRAM,MALE,59,GENERAL,AAAP,Broom,58838,67,58905,54.5053297801466,177672
NCT OF Delhi,52,TUGHLAKABAD,2 VIKRAM BIDHURI,MALE,43,GENERAL,BJP,Lotus,45093,54,45147,41.7749278258938,177672
NCT OF Delhi,52,TUGHLAKABAD,3 SHUBHAM SHARMA,MALE,29,GENERAL,INC,Hand,1337,5,1342,1.24176474942631,177672
NCT OF Delhi,52,TUGHLAKABAD,4 MANOJ KUMAR RAY,MALE,36,GENERAL,BSP,Elephant,1312,4,1316,1.21770671404249,177672
NCT OF Delhi,52,TUGHLAKABAD,5 NOTA,,,,NOTA,NOTA,383,1,384,0.35531867643793,177672
NCT OF Delhi,52,TUGHLAKABAD,6 ANITA KUMARI,FEMALE,38,GENERAL,IND,Auto- Rickshaw,268,,268,0.247982826263972,177672
NCT OF Delhi,52,TUGHLAKABAD,7 HANSRAJ NAGAR,MALE,41,GENERAL,IND,Bat,236,,236,0.218372936560811,177672
NCT OF Delhi,52,TUGHLAKABAD,8 ARUN KUMAR,MALE,40,GENERAL,RaNP,Pot,165,,165,0.152675993781923,177672
NCT OF Delhi,52,TUGHLAKABAD,9 SHYAM KUMAR,MALE,31,GENERAL,SJSMP,Laptop,134,,134,0.123991413131986,177672
