10 - Detailed Results,,,,,,,,,,,,,
,,,,,,,,, VALID VOTES POLLED ,,,,
 STATE/UT NAME , AC NO. , AC NAME , CANDIDATE NAME , SEX , AGE , CATEGORY , PARTY , SYMBOL , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS 
NCT OF Delhi,5,BADLI,1 AJESH YADAV,MALE,52,GENERAL,AAAP,Broom,69357,70,69427,49.6463891649922,219941
NCT OF Delhi,5,BADLI,2 VIJAY KUMAR BHAGAT,MALE,54,GENERAL,BJP,Lotus,40234,99,40333,28.8416295417003,219941
NCT OF Delhi,5,BADLI,3 DEVENDER YADAV,MALE,45,GENERAL,INC,Hand,27449,34,27483,19.6527534449347,219941
NCT OF Delhi,5,BADLI,4 NOTA,,,,NOTA,NOTA,608,1,609,0.435488369099633,219941
NCT OF Delhi,5,BADLI,5 LAXMAN KUMAR,MALE,27,GENERAL,BSP,Elephant,579,,579,0.414035740079947,219941
NCT OF Delhi,5,BADLI,6 SIDDHARTH NAIR,MALE,29,GENERAL,IND,CCTV Camera,276,1,277,0.198079274615104,219941
NCT OF Delhi,5,BADLI,7 VIJAY KUMAR,MALE,40,SC,AAPP,Battery torch,246,,246,0.175911557961428,219941
NCT OF Delhi,5,BADLI,8 UMA DUTT SHARMA,MALE,58,GENERAL,RAM,Scissors,212,,212,0.151598578405784,219941
NCT OF Delhi,5,BADLI,9 VIKASH KUMAR,MALE,27,GENERAL,IND,Brush,151,,151,0.107978232732421,219941
NCT OF Delhi,5,BADLI,10 MULAYAM SINGH,MALE,33,GENERAL,AKBHJSP,Water Tank,143,,143,0.102257531660505,219941
NCT OF Delhi,5,BADLI,11 DEVENDER SINGH YADAV,MALE,40,GENERAL,IND,Batsman,129,,129,0.0922463047846514,219941
NCT OF Delhi,5,BADLI,12 NARENDRA PAL SINGH,MALE,29,GENERAL,RSPS,Cup & Saucer,125,,125,0.0893859542486932,219941
NCT OF Delhi,5,BADLI,13 JAI PAL,MALE,46,GENERAL,IND,Television,83,,83,0.0593522736211323,219941
NCT OF Delhi,5,BADLI,14 PRADEEP KUMAR,MALE,36,GENERAL,SatBP,Black Board,46,,46,0.0328940311635191,219941
 TURNOUT , TOTAL : ,,,,,,,,139638,205,139843,63.5820515501885,
NCT OF Delhi,6,RITHALA,1 MOHINDER GOYAL,MALE,55,GENERAL,AAAP,Broom,87807,133,87940,52.6337840183386,279653
NCT OF Delhi,6,RITHALA,2 MANISH CHAUDHARY,MALE,38,GENERAL,BJP,Lotus,73813,254,74067,44.3305262779883,279653
NCT OF Delhi,6,RITHALA,3 PRADEEP KUMAR PANDEY,MALE,48,GENERAL,INC,Hand,2634,17,2651,1.58667456712094,279653
NCT OF Delhi,6,RITHALA,4 NOTA,,,,NOTA,NOTA,821,3,824,0.493179872994212,279653
NCT OF Delhi,6,RITHALA,5 RAJESH KUMAR,MALE,45,SC,BSP,Elephant,487,4,491,0.293872958301163,279653
NCT OF Delhi,6,RITHALA,6 ALOK DIXIT,MALE,43,GENERAL,IND,FLUTE,272,,272,0.162797239629157,279653
NCT OF Delhi,6,RITHALA,7 VIDYA PATI,MALE,48,GENERAL,IND,Cauliflower,232,,232,0.138856469095458,279653
NCT OF Delhi,6,RITHALA,8 SHIV NANDAN SINGH,MALE,45,GENERAL,BSKRP,Helicopter,188,,188,0.112521621508388,279653
NCT OF Delhi,6,RITHALA,9 TRIBENI PRASAD,MALE,67,GENERAL,IND,Brief Case,172,,172,0.102945313294908,279653
NCT OF Delhi,6,RITHALA,10 SURAJ SINGH,MALE,27,GENERAL,AKBHJSP,Water Tank,82,,82,0.0490785795940842,279653
NCT OF Delhi,6,RITHALA,11 VIJAY KUMAR,MALE,47,GENERAL,RaNP,Pot,57,,57,0.034115598010522,279653
NCT OF Delhi,6,RITHALA,12 WAHEED KHAN,MALE,34,GENERAL,TPSTP,Kettle,53,,53,0.031721520957152,279653
NCT OF Delhi,6,RITHALA,13 JANAB MULLA,MALE,41,GENERAL,ASSP,Gas Cylinder,50,,50,0.0299259631671245,279653
 TURNOUT , TOTAL : ,,,,,,,,166668,411,167079,59.7451126932305,
NCT OF Delhi,7,BAWANA(SC),1 JAI BHAGWAN,MALE,38,SC,AAAP,Broom,95455,260,95715,48.3795149664884,319559
NCT OF Delhi,7,BAWANA(SC),2 RAVINDER KUMAR,MALE,45,SC,BJP,Lotus,83456,733,84189,42.55365392586,319559
NCT OF Delhi,7,BAWANA(SC),3 SURENDER KUMAR,MALE,62,SC,INC,Hand,12716,87,12803,6.47132560325917,319559
NCT OF Delhi,7,BAWANA(SC),4 RANJIT RAM,MALE,41,SC,BSP,Elephant,1931,10,1941,0.981085917044915,319559
NCT OF Delhi,7,BAWANA(SC),5 ABHIPSA CHAUHAN,FEMALE,25,SC,CPI,Ears of Corn And Sickle,1227,,1227,0.620191870280325,319559
NCT OF Delhi,7,BAWANA(SC),6 NOTA,,,,NOTA,NOTA,1031,15,1046,0.528704723971654,319559
NCT OF Delhi,7,BAWANA(SC),7 PRADEEP,MALE,46,SC,AAPP,Battery torch,919,2,921,0.4655229930955,319559
 TURNOUT , TOTAL : ,,,,,,,,196735,1107,197842,61.9109460224872,
